	NB	KNN[5]	KNN[7]	COMB[3]	MLP	SVM
44	0.589474	0.726316	0.778947	0.978947	0.978947	1.000000
45	0.673684	0.694737	0.768421	0.957895	0.947368	0.957895
46	0.736842	0.705263	0.747368	0.957895	0.968421	0.978947
47	0.802083	0.697917	0.822917	0.989583	0.989583	1.000000
48	0.760417	0.760417	0.885417	0.989583	1.000000	1.000000
49	0.701031	0.742268	0.824742	0.979381	1.000000	1.000000
50	0.697917	0.739583	0.812500	0.989583	1.000000	1.000000
51	0.711340	0.762887	0.845361	1.000000	0.979381	1.000000
52	0.736842	0.715789	0.778947	0.978947	0.989474	0.989474
53	0.666667	0.739583	0.812500	0.968750	1.000000	1.000000
54	0.656250	0.729167	0.812500	0.958333	0.968750	0.979167
55	0.814433	0.742268	0.793814	0.989691	0.948454	0.969072
56	0.708333	0.708333	0.770833	0.989583	0.958333	0.989583
57	0.705263	0.715789	0.831579	0.968421	0.989474	1.000000
58	0.666667	0.729167	0.781250	0.979167	0.968750	0.979167
59	0.757895	0.736842	0.810526	0.989474	1.000000	1.000000
60	0.726316	0.715789	0.778947	0.978947	1.000000	1.000000
61	0.718750	0.718750	0.812500	0.989583	0.947917	0.968750
62	0.687500	0.750000	0.802083	0.947917	0.989583	1.000000
63	0.684211	0.694737	0.768421	1.000000	0.989474	0.989474
64	0.701031	0.721649	0.824742	0.979381	0.989691	1.000000
65	0.736842	0.757895	0.831579	1.000000	0.947368	0.978947
66	0.673684	0.715789	0.800000	0.957895	0.989474	1.000000
67	0.677083	0.708333	0.822917	0.958333	0.989583	1.000000
68	0.721649	0.752577	0.835052	0.989691	1.000000	1.000000
69	0.802083	0.739583	0.812500	1.000000	0.958333	0.989583
70	0.715789	0.715789	0.757895	0.968421	0.978947	0.989474
71	0.680412	0.731959	0.814433	0.979381	0.938144	1.000000
72	0.757895	0.726316	0.778947	0.957895	0.968421	0.989474
73	0.729167	0.708333	0.760417	0.979167	0.979167	1.000000
74	0.621053	0.694737	0.789474	0.989474	0.978947	0.978947
75	0.687500	0.697917	0.802083	0.979167	0.958333	0.979167
76	0.757895	0.726316	0.831579	1.000000	0.978947	1.000000
77	0.694737	0.726316	0.821053	0.968421	0.978947	0.989474
78	0.711340	0.742268	0.855670	0.979381	0.989691	0.989691
79	0.729167	0.708333	0.760417	0.968750	0.989583	1.000000
80	0.697917	0.739583	0.812500	0.968750	1.000000	0.989583
81	0.721649	0.711340	0.773196	0.979381	0.979381	0.989691
82	0.757895	0.757895	0.831579	0.978947	0.978947	0.989474
83	0.666667	0.729167	0.781250	0.979167	1.000000	1.000000
84	0.687500	0.739583	0.822917	0.968750	0.947917	0.968750
85	0.757895	0.736842	0.800000	0.978947	1.000000	1.000000
86	0.625000	0.750000	0.843750	0.968750	0.968750	1.000000
87	0.718750	0.718750	0.760417	0.979167	0.979167	1.000000
88	0.680412	0.721649	0.804124	0.969072	0.989691	0.989691
89	0.705263	0.747368	0.789474	1.000000	0.947368	0.957895
90	0.747368	0.726316	0.789474	0.978947	0.989474	1.000000
91	0.697917	0.718750	0.802083	0.989583	0.958333	0.979167
92	0.729167	0.718750	0.843750	0.968750	0.989583	1.000000
93	0.757895	0.705263	0.768421	0.989474	0.978947	1.000000
94	0.666667	0.697917	0.760417	0.958333	0.979167	0.979167
95	0.680412	0.711340	0.783505	0.969072	0.979381	0.989691
96	0.694737	0.715789	0.789474	0.968421	0.978947	1.000000
97	0.708333	0.677083	0.770833	0.989583	0.968750	0.989583
98	0.705263	0.747368	0.810526	0.978947	0.978947	0.989474
99	0.729167	0.739583	0.812500	0.979167	0.989583	1.000000
100	0.708333	0.739583	0.854167	0.989583	0.979167	0.989583
